title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
Just For Kids Quran Stoires,Saniyasnain Khan,9788178984155,Islamic,60,69,English,,"These are some of the best-loved tales from the Quran and from the life of the Prophet Muhammad. Especially chosen for the very young, they provide a foundation on which to build a growing knowledge of the scriptures. This is story-telling at its best, with the meaning and message expressed in the simplest of words. As well as being easy to understand, these stories are also fun to read and share with others. Colourful, child-friendly illustrations complement the text and bring the stories vividly to life.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413617/rewaya_books/bmnpaqtyc74hfjpd2fii.webp,62
Ramdan The Month Of Fasting,Saniyasnain Khan,9788178987644,Islamic,10,82,English,,"Nourish your little one's soul with the delightful read, Ramadan: The Month of Fasting. This must-have Islamic children's book offers a perfect way to introduce the significance of this holy month. It's a treasured resource for parents in the Middle East seeking high-quality, engaging faith-based content. The story is creatively written and faithfully based on the Qur'an, ensuring authenticity and educational value. This beautiful tale is designed to make learning about Ramadan fun and relatable for young minds, fostering a love for Islamic teachings from an early age.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413618/rewaya_books/nowz8hjwtkqafylaty6y.webp,63
Ali Ibn Abithalib,Maria Khan,9788178987651,Islamic,15,88,English,,"Ali ibn Abi Talib, the cousin and son-in-law of the Prophet Muhammad, was also one of the members of the Prophet's household. The Prophet took him into his care when he was only 5 years old and gave him an excellent upbringing. And from then onwards, he remained with the Prophet's daughter Fatima after the migration to Medinah. In fact, he was so close to the Prophet, that once the Prophet said to him, ""You are of me and I of you."" This closeness, however, entailed great responsibility along with constantly being tested with trying situations. In the course of time, Ali became well-versed in Islamic knowledge, achieved profundity in religion and live a life of deep realization and spirituality.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413619/rewaya_books/sgqophi4lnjfox4bomzm.webp,64
Salat Guide Made Simple,Mohammad Thompson,9788178987989,Islamic,20,2,English,,"Improve your knowledge of Salat with this easy-to-read pocket reference book. - Gain a meaningful and deeper understanding of the daily prayers and other occasional prayers. - Focus on the essential aspects of Salat, such as purification, cleanliness, time management, spirituality and above all, acknowledging the greatness of God. - Learn about and reflect upon the relevance of Salat in the present world - A 7-page pull-out chart giving Salat at a glance.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413620/rewaya_books/yvi7a7xrxkcqdzbni5yg.webp,65
The Quran Dictionary for Kids (PB),Saniyasnain Khan,9788178988849,Islamic,65,19,English,,"Gift your little reader the joy of Islamic learning with the Goodword Quran Dictionary for Kids. This essential and unique treasury is the perfect first reference book, crafted specifically to nurture curiosity and help children easily connect with the Holy Quran. Designed especially for children, it guides young minds through a beautiful collection of over 350 essential names, terms, and concepts found within the Quran, making it the ideal tool to start their journey of faith.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413620/rewaya_books/z4qoqtiwoav8o6c1dyhf.webp,66
The Blessing Of Ramadan (PB),Javed Ali,9788185063096,Islamic,25,80,English,,"Eid-ul-Fitr is always an occasion for great fun and celebration. After a month-long Ramadan, everybody looks forward to a great Eid. Eid-ul-Fitr also calls for thanking Allah for His blessings, helping the poor and the needy around us and sharing our love and happiness with each other.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413621/rewaya_books/nhvwlmyejyrnernbqozy.webp,67
Allahs Best Friend (PB),Saniyasnain Khan,9788187570516,Islamic,10,2,English,,"The book provides guidance and advice on the relationship with God and how to draw closer to Him. It explains the prophetic hadiths and Quranic verses in a simple and clear manner, helping the reader to strengthen their faith and enhance their relationship with God.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413623/rewaya_books/mxwemkbjuzso3525yzaa.webp,68
Introducing Islam,Maulana Wahiduddin Khan,9788187570585,Islamic,25,8,English,,?Introducing Islam? provides the general reader with an accurate and comprehensive picture of Islam--the true religion of submission to God. In the first section it is shown that the true path is the path that God has revealed to mankind through His prophets. The second section provides an introduction to various aspects of the Islamic life under forty-five separate headings. Qur?anic teachings have been summarized in the third section in words taken from the Quran itself. In the fourth section the life that makes man worthy of Paradise has been described and in the last section the life that will condemn him to Hell-fire.,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413624/rewaya_books/oaddtozz18yqnxldeqjf.webp,69
The First Man (PB),Saniyasnain Khan,9788187570943,Islamic,10,2,English,,"The Quran is full of exciting stories, adventures, teachings and prayers, which show Allah's love for us and explain what He requires from us as believers",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413625/rewaya_books/odfypaj5ilfznlhrbyy9.webp,70
Awesome Quran Question & Answers (HB),Saniyasnain Khan,9789351790099,Islamic,45,64,English,,"Awesome Quran Questions and Answers is packed with hundreds of incredible, heartwarming, and inspiring questions and answers about the people, places, and events mentioned in the Quran. Written especially for children aged 7 and up, it is an ideal gift for children who are curious to know the facts behind these magnificent and amazing stories of faith. It also brings the message of the Quran alive to readers in an easy and fun way. These interesting facts and stories come with stunning photographs and colorful illustrations.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413626/rewaya_books/uv8yh4ndflbk7e75bonn.webp,71
