title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Importance of Patiance in the Quran,Harun Yahya,9788178982922,Islamic,25.0,13,English,,"<p>The Quran defines patience as one of the paths that lead people from darkness to light and as an attribute of morality that is superior to, wide-ranging, and very different from the daily behaviour of many people. True patience is a moral characteristic displayed in the face of difficulty and in every moment of life. Moreover, it requires the demonstration of determination and consistency during times of ease and hardship, and is a lifelong endeavour that never goes astray, even for a moment.Allah gives the most striking examples of patience in the lives of the Prophets, because they showed patience while teaching Allahs religion and leading a moral life. They never deviated from their devotion to Allah, and were patient people who sought only Allahs approval.This book will define this high moral virtue taught by the Quran and invite people to acquire true patience. Inaccurate understandings of patience will be explained along with the kind of patience Allah requires, how Allah may test people so that they can acquire a more perfect patience, and the great return Allah promises to those who exhibit great patience.</p>",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_7cb771dfb1b947379ff8b3df2dc7b4ac~mv2.jpg,57
A-Z Ready For Reference Quran,Mohammad Imran Erfani,9788178983356,Islamic,40.0,31,English,,"The Quran, the fountainhead of knowledge, is read by millions of people throughout the world. Those who want to savoir its original heavenly flavor read the Quran in Arabic. Nevertheless, the need for a reference book on the Quran is felt by many of its readers. This ready Reference of the Quran, based on the translation of Abdullah Yusuf Ali, is a humble attempt to help those who are committed to studying the Quran and understanding its meaning and message. It presents an exhaustive list of all the important words used in the translation of the Quran with its accompanying verses. This book endeavors to make the reading of and reference to the Quran easy and accessible for everyone.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_c0adb3a6e8c64a5695d885fa273f5a31~mv2.jpg,58
Rivers Of Milk And Honey (PB),Saniyasnain Khan,9788178983653,Islamic,10.0,2,English,,"The Quran is full of exciting stories, adventures, teachings and prayers, which show Allah�s love for us and explain what He requires from us as believers in and sincere servants of our Creator. Quran Stories for Little Hearts series is specially designed to provide an easy way to help your children understand more about the stories of the Quran by enjoying them and learning from them in a natural way. It�s a wonderful way to explain the greatest stories of the Quran to children and encourage them to explore the meaning and purpose of the word of Allah. A simple text and magnificent colour illustrations will captivate young, active minds. It will capture the interest of children both at home and in the classroom.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_64b92c2a844a4346bca4c2ed55b8f394~mv2.jpg,59
Aminah & Aishas Eid Gift,Saniyasnain Khan,9788178983691,Islamic,10.0,14,English,,"This is the story of two little girls, Aminah and Aisha who decide to make special Eid boxes for the less fortunate members of their community. Through this act of kindness, they discover that the true joy of Eid lies in giving, rather than in receiving.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_52acf08101e14178815828d4a5e0ffca~mv2.jpg,60
Eid song,Saniyasnain Khan,9788178983899,Islamic,10.0,5,English,,"Eid-ul-Fitr is always an occasion for great fun and celebration. After a month-long Ramadan, everybody looks forward to a great Eid. Eid-ul-Fitr also calls for thanking Allah for His blessings, helping the poor and the needy around us and sharing our love and happiness with each other.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_1d5823926cc64aeea20a8b89c1f5cbc5~mv2.jpg,61
Just For Kids Quran Stoires,Saniyasnain Khan,9788178984155,Islamic,60.0,69,English,,"These are some of the best-loved tales from the Quran and from the life of the Prophet Muhammad. Especially chosen for the very young, they provide a foundation on which to build a growing knowledge of the scriptures. This is story-telling at its best, with the meaning and message expressed in the simplest of words. As well as being easy to understand, these stories are also fun to read and share with others. Colourful, child-friendly illustrations complement the text and bring the stories vividly to life.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_10c5d277f7284aea9c8893eb3b1af0a0~mv2.jpg,62
Ramdan The Month Of Fasting,Saniyasnain Khan,9788178987644,Islamic,10.0,82,English,,"Nourish your little one's soul with the delightful read, Ramadan: The Month of Fasting. This must-have Islamic children's book offers a perfect way to introduce the significance of this holy month. It's a treasured resource for parents in the Middle East seeking high-quality, engaging faith-based content. The story is creatively written and faithfully based on the Qur'an, ensuring authenticity and educational value. This beautiful tale is designed to make learning about Ramadan fun and relatable for young minds, fostering a love for Islamic teachings from an early age.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_7ac326c2505c4ca9831da90987f48167~mv2.jpg,63
Ali Ibn Abithalib,Maria Khan,9788178987651,Islamic,15.0,88,English,,"Ali ibn Abi Talib, the cousin and son-in-law of the Prophet Muhammad, was also one of the members of the Prophet's household. The Prophet took him into his care when he was only 5 years old and gave him an excellent upbringing. And from then onwards, he remained with the Prophet's daughter Fatima after the migration to Medinah. In fact, he was so close to the Prophet, that once the Prophet said to him, You are of me and I of you. This closeness, however, entailed great responsibility along with constantly being tested with trying situations. In the course of time, Ali became well-versed in Islamic knowledge, achieved profundity in religion and live a life of deep realization and spirituality.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_fa92d2dbff5b4edbaa71a045e6dc511b~mv2.jpg,64
Salat Guide Made Simple,Mohammad Thompson,9788178987989,Islamic,20.0,2,English,,"Improve your knowledge of Salat with this easy-to-read pocket reference book. - Gain a meaningful and deeper understanding of the daily prayers and other occasional prayers. - Focus on the essential aspects of Salat, such as purification, cleanliness, time management, spirituality and above all, acknowledging the greatness of God. - Learn about and reflect upon the relevance of Salat in the present world - A 7-page pull-out chart giving Salat at a glance.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_00722a442280429db3d540fc0735c811~mv2.jpg,65
The Quran Dictionary for Kids (PB),Saniyasnain Khan,9788178988849,Islamic,65.0,19,English,,"Gift your little reader the joy of Islamic learning with the Goodword Quran Dictionary for Kids. This essential and unique treasury is the perfect first reference book, crafted specifically to nurture curiosity and help children easily connect with the Holy Quran. Designed especially for children, it guides young minds through a beautiful collection of over 350 essential names, terms, and concepts found within the Quran, making it the ideal tool to start their journey of faith.",GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_afe3eb7189bb4e618db3e98f48b5af72~mv2.jpg,66
